,id,id_test,id_train,specie_test,specie_train,score,score_sum,score_norm,score_norm_mean
138,139,1491,1097,4,4,1.654371805928905,8.630008259574765,0.19169990991531477,0.19422871271357145
139,140,1004,1009,4,4,0.5210044863903788,2.897060654253977,0.17983899840873122,0.2
140,141,939,940,4,4,0.8985356638220756,6.295558099534431,0.1427253389796409,0.1427253389796409
141,142,679,675,4,4,1.4720029957453857,7.729780002910726,0.19043271544482357,0.19537124728242283
142,143,1485,1484,4,4,0.4256582274150102,5.7592701219297835,0.07390836310910576,0.14232414381973033
143,144,680,675,4,4,1.3712471851148322,7.680052198265396,0.17854659704325185,0.195719248852272
144,145,939,940,4,4,0.8985356638220756,6.295558099534431,0.1427253389796409,0.1427253389796409
145,146,1004,1009,4,4,0.5210044863903788,2.897060654253977,0.17983899840873122,0.2
146,147,1470,1471,4,4,0.4137557338037978,4.765427679823298,0.086824470247577,0.2
147,148,1099,1100,4,4,0.7862918654997686,5.948597651061492,0.13218104696649965,0.18844076727637038
148,149,676,675,4,4,0.6730007747204368,7.52933461336651,0.08938383127848867,0.19123171225331548
149,150,1010,1009,4,4,0.35096717221599866,2.8128949164528567,0.12477080823857387,0.2
150,151,1273,1271,5,5,0.16553193506869543,1.11369805962662,0.14863268696381846,0.2
151,152,1251,1441,5,5,0.29977762462169066,1.7042440598197146,0.17590064221987253,0.2
152,153,1261,1265,5,5,0.19782598812017382,1.4080328118960312,0.1404981378621319,0.2
153,154,1253,1254,5,5,0.23117221582339095,1.3419566671759995,0.17226503767060342,0.2
154,155,701,702,5,5,0.23027472696669685,1.7122623963645167,0.13448565328282464,0.19784925857213428
155,156,1436,1431,5,5,0.34590593844036716,2.1295458539060124,0.1624317869492721,0.2
156,157,1444,1437,5,5,0.20816999564434557,1.3326296552302295,0.1562099378678328,0.2
157,158,1557,1540,5,5,0.4739601679772887,2.4734792356542448,0.19161679675549181,0.19800439429647912
158,159,720,721,5,5,0.12323338050108654,1.3206727525766655,0.09331106457724303,0.2
159,160,709,702,5,5,0.2820748866472416,1.6023374385603888,0.17603962802034398,0.2
160,161,1266,1270,5,5,0.1889146799418065,1.0682769802458383,0.1768405417650508,0.20000000000000004
161,162,1589,1720,5,12,0.5390799736986829,3.283553328048412,0.16417579367260846,0.1975517115798517
162,163,1552,1536,5,5,0.23181371256757577,1.5009306380173244,0.1544466524274522,0.2
163,164,1531,1536,5,5,0.14069422502073942,1.308831433311936,0.10749606209007323,0.2
164,165,711,707,5,5,0.31473272753881354,1.8175623115105308,0.17316200140464344,0.2
165,166,699,698,5,5,0.25688804988766767,1.8597866153377451,0.138127701193836,0.2
166,167,718,717,5,5,0.2472697892719367,1.6421924716001024,0.15057296483097657,0.2
167,168,1532,1536,5,5,0.21154199057140358,1.4398256943142047,0.14692194437616418,0.19999999999999998
168,169,1430,1431,5,5,0.2838931402144685,1.8343058004380226,0.15476870876528673,0.2
169,170,1538,1537,5,5,0.27613072460656757,2.0968376445711066,0.13168912973376543,0.188286356598114
170,171,703,552,5,9,0.3612182951533485,1.8403400898822966,0.1962780124930339,0.1962780124930339
171,172,1533,1535,5,5,0.19506267587337994,1.1202863050678789,0.17411859360501686,0.2
172,173,1555,1556,5,5,0.22079756701700187,1.593364332645369,0.13857318285167378,0.2
173,174,1429,1428,5,5,0.18998963556697476,1.5077949271469937,0.12600495740257445,0.2
174,175,1282,1276,5,5,0.17126692612746258,1.0967531818193224,0.1561581301668627,0.2
175,176,1529,1528,5,5,0.15816735173342297,0.9645928545249121,0.1639731737504158,0.2
176,177,719,702,5,5,0.35116755054351867,1.8691771757869484,0.1878728004452935,0.19930398638667882
177,178,1245,1246,5,5,0.21443152033896057,1.3561661195592891,0.1581159691621289,0.2
178,179,693,715,5,5,0.34908756819508335,1.9160946113847421,0.1821870204743185,0.1938251696478293
179,180,1530,1550,5,5,0.2698369849634698,1.6273548737459158,0.16581324044112603,0.2
180,181,2323,2320,6,6,0.2677575264544866,1.463519241555825,0.18295456516843694,0.19999999999999998
181,182,2326,2327,6,6,0.409746742201204,2.3065431712656084,0.1776453817581808,0.1776453817581808
182,183,1170,1171,6,6,0.22121559115956613,2.324027040287454,0.09518632413683295,0.18617544724253277
183,184,1512,477,6,8,0.30305897421804306,1.697027515248493,0.17858223953055152,0.2
184,185,1573,1574,6,6,0.43892917922248953,2.6324098401200864,0.1667404416032977,0.1986675661126399
185,186,1649,1648,6,6,0.23534399322353505,1.369610701871554,0.17183276452348156,0.2
186,187,2305,2304,6,6,0.2736975986450566,1.7969221787708096,0.1523146644181777,0.18881572182567088
187,188,2200,2198,6,6,0.28853722562850925,2.0071559297236856,0.143754265104969,0.2
188,189,2328,2315,6,6,0.374512321837436,1.964622027008998,0.19062818022436878,0.19775627694015077
189,190,2309,2307,6,6,0.22952364631084674,1.8830660978608234,0.12188825797011972,0.17073495233268945
