,id,specie_test,specie_train
160,152,5,5
161,153,5,5
162,154,5,5
163,155,5,5
164,156,5,5
165,157,5,5
166,158,5,5
167,159,5,5
168,160,5,5
169,161,5,5
170,162,5,12
171,163,5,5
172,164,5,5
173,165,5,5
174,166,5,5
175,167,5,5
176,168,5,5
177,169,5,5
178,170,5,5
179,171,5,5
180,172,5,5
181,173,5,5
182,174,5,5
183,175,5,5
184,176,5,5
185,177,5,5
186,178,5,5
187,179,5,5
188,180,5,5
189,181,6,6
190,182,6,8
191,183,6,6
192,184,6,8
193,185,6,6
194,186,6,6
195,187,6,6
196,188,6,6
197,189,6,6
198,190,6,6
199,191,6,6
200,192,6,9
201,193,6,6
202,194,6,6
203,195,6,6
204,196,6,7
205,196,6,9
206,197,6,6
207,198,6,6
208,199,6,6
209,200,6,6
210,201,6,9
211,202,6,6
212,203,6,6
213,204,6,6
214,205,6,9
215,206,6,6
216,207,6,7
217,207,6,9
218,208,6,6
219,209,6,6
220,210,6,8
221,211,7,7
222,212,7,9
223,213,7,8
224,214,7,7
225,215,7,7
226,216,7,7
227,217,7,7
228,218,7,7
229,219,7,7
230,220,7,7
231,221,7,6
232,222,7,7
233,223,7,8
234,224,7,7
235,225,7,8
236,226,7,6
237,227,7,7
238,228,7,7
239,229,7,7
240,229,7,10
241,230,7,7
242,231,7,7
243,232,7,7
244,233,7,7
245,234,7,8
246,235,7,6
247,235,7,7
248,236,7,7
249,237,7,1
250,238,7,6
251,238,7,7
252,239,7,7
253,240,7,7
254,241,8,8
255,242,8,8
256,243,8,8
257,244,8,8
258,245,8,8
259,246,8,8
260,247,8,8
261,248,8,8
262,249,8,8
263,250,8,8
264,251,8,8
265,252,8,8
266,253,8,8
267,254,8,8
268,255,8,8
269,256,8,8
270,257,8,7
271,258,8,8
272,259,8,8
273,260,8,8
274,261,8,8
275,262,8,8
276,263,8,8
277,264,8,8
278,265,8,8
279,266,8,8
280,267,8,8
281,268,8,8
282,269,8,8
283,270,8,8
284,271,9,9
285,272,9,6
286,273,9,9
287,274,9,9
288,275,9,9
289,276,9,9
290,277,9,9
291,278,9,9
292,279,9,9
293,280,9,9
294,281,9,6
295,281,9,7
296,282,9,9
297,283,9,9
298,284,9,8
299,285,9,9
300,286,9,9
301,287,9,7
302,288,9,9
303,289,9,9
304,290,9,9
305,291,9,9
306,292,9,9
307,293,9,9
308,294,9,9
309,295,9,9
310,296,9,9
311,297,9,9
312,298,9,9
313,299,9,9
314,300,9,9
315,301,10,10
316,302,10,10
317,303,10,10
318,304,10,10
319,305,10,10
320,306,10,8
321,307,10,2
322,308,10,10
323,309,10,10
324,310,10,10
325,311,10,10
326,312,10,10
327,313,10,10
328,314,10,8
329,315,10,10
330,316,10,10
331,317,10,10
332,318,10,10
333,319,10,8
334,320,10,10
335,321,10,10
336,322,10,10
337,323,10,10
338,324,10,10
339,325,10,8
340,326,10,10
341,327,10,10
342,328,10,10
343,329,10,10
344,330,10,10
345,331,11,11
346,332,11,11
347,333,11,11
348,334,11,11
349,335,11,11
350,336,11,11
351,337,11,11
352,338,11,11
353,339,11,0
354,340,11,11
355,341,11,12
356,341,11,14
357,342,11,11
358,343,11,11
359,344,11,11
360,345,11,11
361,346,11,11
362,347,11,11
363,348,11,11
364,349,11,5
365,350,11,11
366,351,11,11
367,352,11,5
368,353,11,11
369,354,11,11
370,355,11,11
371,356,11,11
372,357,11,11
373,358,11,11
374,359,11,11
375,360,11,11
376,361,12,12
377,362,12,12
378,363,12,12
379,364,12,12
380,365,12,12
381,366,12,12
382,367,12,12
383,368,12,12
384,369,12,12
385,370,12,12
386,371,12,12
387,372,12,12
388,373,12,12
389,374,12,12
390,375,12,12
391,376,12,12
392,377,12,12
393,378,12,12
394,379,12,12
395,380,12,12
396,381,12,12
397,382,12,12
398,383,12,12
399,384,12,12
400,385,12,12
401,386,12,12
402,387,12,12
403,388,12,12
404,389,12,12
405,390,12,12
406,391,13,13
407,392,13,13
408,393,13,13
409,394,13,2
410,395,13,13
411,396,13,13
412,397,13,2
413,398,13,13
414,399,13,13
415,400,13,13
416,401,13,13
417,402,13,13
418,403,13,2
419,404,13,13
420,405,13,13
421,406,13,13
422,407,13,13
423,408,13,2
424,409,13,13
425,410,13,13
426,411,13,13
427,412,13,13
428,413,13,2
429,414,13,13
430,415,13,13
431,416,13,13
432,417,13,13
433,418,13,13
434,419,13,13
435,420,13,13
436,421,14,14
437,422,14,14
438,423,14,14
439,424,14,14
440,425,14,8
441,426,14,14
442,427,14,14
443,428,14,14
444,429,14,14
445,430,14,5
446,431,14,14
447,432,14,14
448,433,14,14
449,434,14,5
450,435,14,12
451,436,14,14
452,437,14,14
453,438,14,14
454,439,14,5
455,440,14,14
456,441,14,14
457,442,14,14
458,443,14,14
459,444,14,5
460,445,14,14
461,446,14,14
462,447,14,14
463,448,14,14
464,449,14,14
465,450,14,14
466,451,15,15
467,452,15,15
468,453,15,15
469,454,15,15
470,455,15,15
471,456,15,15
472,457,15,15
473,458,15,15
474,459,15,15
475,460,15,15
476,461,15,15
477,462,15,15
478,463,15,15
479,464,15,15
480,465,15,15
481,466,15,15
482,467,15,15
483,468,15,15
484,469,15,15
485,470,15,15
486,471,15,15
487,472,15,15
488,473,15,15
489,474,15,15
490,475,15,15
491,476,15,15
492,477,15,15
493,478,15,15
494,479,15,15
495,480,15,15
